name,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
The Riddle Anthem - Radio Mix,5xYhrLgufpqwc7FDeaEzd4,0.653,0.788,6,-5.026,0,0.0313,0.014,3.05e-05,0.365,0.594,127.016,3
Don't Stop the Dancing - Video Edit,2wc4EBRcZjYTl2CikrZkZX,0.61,0.95,4,-4.412,1,0.215,0.0212,0.0,0.189,0.59,127.984,5
Meet Me in Paris - Radio Edit,5K6Mz3tE5fpBnPNYWd4QBY,0.729,0.732,10,-4.303,1,0.0517,0.0106,0.0,0.0952,0.547,127.916,5
Disco Pogo,1v5ux3K8vE1CWxDa0PVyGu,0.64,0.746,9,-4.552,1,0.424,0.00744,0.0,0.103,0.179,131.892,4
More - RedOne Jimmy Joker Remix,0aBKFfdyOD1Ttvgv0cfjjJ,0.551,0.893,7,-2.628,1,0.0543,0.00166,0.0,0.348,0.794,125.083,5
Turn This Club Around,2oqjO52h0SGpuhWPcF3jMq,0.61,0.843,0,-4.894,1,0.0296,0.000118,0.000392,0.373,0.916,127.981,5
Morgens immer müde - Single Version,2ta32gI6EPiCgnrOXnslOm,0.93,0.584,6,-8.688,1,0.0443,0.0197,0.00227,0.102,0.923,130.024,5
Higher Ground - Flamemakers Radio Edit,3TD21S7DgPAsQFsdAOE8zP,0.573,0.817,2,-5.51,1,0.0534,0.0199,0.0,0.69,0.503,128.023,1
My Party (Radio Version),2UT8Re2t44hoUYCKJcOdqn,0.732,0.772,5,-5.779,0,0.241,0.0209,0.00152,0.878,0.573,128.038,1
Ebony Eyes,7qUmYfd8jcCoBfLqiCXfq3,0.693,0.921,1,-3.457,0,0.191,0.136,0.0,0.591,0.651,122.134,1
Wicked Wonderland,1dMcjMqMEUP7ST0Dpcoice,0.699,0.812,6,-5.772,0,0.135,0.00461,0.0161,0.397,0.749,127.916,3
Freed from Desire - Radio Edit,5NVs08Sj3H3NRNgyyopd58,0.672,0.899,0,-4.197,1,0.0473,0.00321,1.96e-05,0.34,0.488,127.967,5
Boom - Video Edit,43h0I6kRW2wy9TJmVtjTMx,0.557,0.77,11,-7.084,0,0.0397,0.0262,4.08e-06,0.119,0.342,149.964,3
Animal,5lSI1H86hAJktYCq2WpX9J,0.616,0.872,0,-4.69,0,0.0387,0.00673,0.0,0.453,0.563,128.023,1
Bring Back the Love - Radio Mix,3JMB1FmETskQ5KVrxJMxNR,0.605,0.818,5,-3.786,1,0.0612,0.0113,6.13e-05,0.179,0.45,127.985,5
Big Jet Plane,7znAjItIP7xKKhyFzF5W1B,0.762,0.387,10,-8.643,0,0.0277,0.239,0.00756,0.13,0.274,109.959,3
Electric Feel,3FtYbEfBqAlGO46NUDQSAt,0.763,0.803,1,-3.713,1,0.0351,0.0709,0.285,0.348,0.561,103.04,5
I Wanna Go,5cCAZS9VhLGEDV4NCfieeg,0.696,0.546,5,-6.55,1,0.0414,0.00379,3.8e-06,0.332,0.787,130.002,5
Boys Boys Boys,33CB8obztQNidFDbO6Z1Wl,0.725,0.662,9,-5.068,1,0.0404,0.0144,0.0,0.0996,0.814,122.989,5
Feeling Good,6Rqn2GFlmvmV4w9Ala0I1e,0.399,0.326,7,-9.239,0,0.0386,0.864,0.0,0.191,0.546,79.206,0
Sunshine (Fly So High) - 2012 Radio Mix,3lEL5rTa86urrKRRunT6Lr,0.653,0.953,5,-4.307,0,0.112,0.12,0.0139,0.137,0.46,129.055,3
Glorious - Video Edit,1UqzLT0ZGWXD9K5npit5Nr,0.564,0.856,7,-5.075,0,0.0538,0.00314,3.74e-05,0.312,0.319,127.983,3
Vamos a la Playa,2Tk5B1h58lJRsrivGg1jaE,0.698,0.963,9,-4.514,1,0.0496,0.106,0.0,0.419,0.847,131.023,5
More Than Friends,7ccRZaWMrVZngBqD1ImOrG,0.801,0.825,11,-3.902,1,0.0485,0.0233,0.000562,0.234,0.953,128.021,5
Welcome to St. Tropez - DJ Antoine vs. Mad Mark Radio Edit,43dijXylJjKuis4lVZGZea,0.775,0.76,0,-4.847,0,0.126,0.00573,0.0,0.341,0.766,124.977,3
Hey Mamma - Radio Edit,4ya42sMcGEBPCaGxqrkLus,0.832,0.807,10,-5.944,0,0.112,0.233,0.0102,0.0681,0.645,110.094,3
Mad World (Feat. Michael Andrews),3JOVTQ5h8HGFnDdp4VT3MP,0.345,0.0581,3,-17.217,1,0.0374,0.976,0.000366,0.103,0.304,174.117,0
Fly With Me,2m3jN95GjlFt51FeE4a55s,0.577,0.802,4,-4.908,0,0.146,0.793,0.0606,0.0834,0.332,180.09,6
Echoes,7wg5h9uqPvRngy5WUQKlAs,0.603,0.946,8,-3.369,0,0.228,0.000335,0.0604,0.0936,0.3,133.986,3
